id_student,n_clicks_externalquiz,n_clicks_forumng,n_clicks_glossary,n_clicks_homepage,n_clicks_oucollaborate,n_clicks_oucontent,n_clicks_ouwiki,n_clicks_resource,n_clicks_subpage,n_clicks_url,total_n_clicks,final_result
238983,27,1208,5,890,24,100,225,71,385,43,2978,0
240641,15,357,0,235,5,130,57,43,89,19,950,0
242472,3,191,0,228,1,249,161,74,196,31,1134,1
243372,24,564,182,578,8,67,149,86,397,14,2069,0
244738,33,395,0,292,1,315,74,69,405,24,1608,0
245653,6,5,1,58,0,41,0,8,40,18,177,1
248695,2,124,0,211,16,342,92,40,120,21,968,1
248961,4,199,0,292,0,51,108,28,114,19,815,0
250163,18,754,149,674,12,100,230,169,863,107,3076,0
257167,28,262,0,578,7,281,84,82,199,18,1539,0
258010,5,292,0,279,12,54,126,87,223,18,1096,0
258042,10,512,1,722,24,147,151,53,188,87,1895,0
259060,6,36,0,79,0,159,16,40,78,3,417,0
259641,19,287,1,435,29,299,78,89,334,46,1617,0
259951,2,98,0,69,2,20,11,25,53,3,283,0
263524,1,2,0,23,0,21,0,0,2,0,49,1
266286,21,638,29,337,23,193,153,143,721,43,2301,0
266558,2,48,0,73,1,59,16,11,23,5,238,0
267871,8,43,0,164,5,163,31,60,176,12,662,0
270393,13,257,0,250,9,54,164,49,133,11,940,0
270493,6,0,0,53,0,78,0,20,92,17,266,1
271206,1,87,0,30,0,20,2,0,17,1,158,1
271526,4,131,0,119,9,127,54,47,140,14,645,0
274712,0,4,0,35,0,5,0,10,29,3,86,1
274964,1,175,0,142,9,235,135,50,78,5,830,1
275232,25,209,0,259,3,292,168,48,410,37,1451,0
276857,16,391,0,264,24,98,195,53,291,37,1369,0
277412,2,68,0,47,0,42,24,9,33,4,229,1
277596,16,46,0,294,6,288,42,94,336,41,1163,0
277729,4,20,0,158,0,98,0,23,87,5,395,1
279868,1,45,0,108,0,59,2,64,75,1,355,0
282317,21,1269,87,484,11,87,88,54,349,25,2475,0
285557,2,225,16,170,0,33,40,51,136,28,701,0
286842,4,265,0,158,2,93,77,14,61,9,683,0
287783,10,374,0,214,20,80,108,30,142,3,981,0
289009,3,8,0,58,0,128,6,24,41,4,272,0
292694,6,259,6,221,0,59,94,27,88,16,776,1
293853,8,108,0,110,14,36,34,9,70,6,395,0
294364,10,679,0,306,1,260,188,64,251,20,1779,1
298402,23,598,6,1014,11,735,207,70,427,32,3123,0
299473,2,276,0,351,1,243,52,67,133,4,1129,1
303582,0,50,0,141,10,85,53,25,62,3,429,0
305535,0,0,0,36,0,47,0,7,53,0,143,0
307932,2,2,0,14,0,9,0,0,2,0,29,1
308231,1,97,0,95,0,136,18,8,11,4,370,1
314956,2,310,0,132,6,59,73,14,55,3,654,0
315625,4,68,0,218,0,249,65,29,79,5,717,0
315730,8,869,0,288,18,152,62,66,275,15,1753,0
315909,1,174,0,89,1,44,79,5,24,4,421,1
317096,2,23,1,249,1,127,9,83,296,19,810,0
318794,5,251,0,207,0,211,95,28,145,12,954,0
318977,2,86,0,53,0,46,35,3,49,7,281,1
320963,6,114,0,166,35,199,89,61,165,31,866,0
325497,20,314,0,402,10,338,103,47,158,19,1411,1
331315,6,356,20,315,17,58,26,103,344,26,1271,0
331404,45,497,47,285,9,74,75,190,725,47,1994,0
332309,4,571,9,464,12,90,100,38,96,14,1398,0
332436,18,400,37,588,33,477,147,87,281,30,2098,0
332726,3,260,0,317,4,168,84,46,47,22,951,1
334255,3,441,35,161,4,65,50,46,220,8,1033,0
334257,21,512,12,332,49,146,87,77,361,39,1636,0
335405,16,530,0,433,16,212,164,79,521,61,2032,0
336037,10,300,3,269,9,111,100,32,117,19,970,0
338034,5,305,0,240,31,161,101,54,158,27,1082,1
339739,4,207,0,270,0,40,68,62,189,13,853,1
339924,7,16,0,86,0,93,0,24,35,4,265,1
341854,3,115,0,87,0,92,51,25,166,15,554,1
342100,14,478,11,608,7,252,149,95,352,38,2004,0
342387,11,173,0,222,4,561,83,60,312,14,1440,1
342949,2,93,41,116,2,40,31,12,80,5,422,1
343238,3,454,0,394,1,459,177,36,52,6,1582,0
343781,16,388,104,243,2,123,150,82,495,71,1674,0
343911,10,517,37,499,20,388,85,59,429,42,2086,1
344474,10,137,0,110,0,163,54,17,61,4,556,1
346333,10,319,0,340,15,351,99,78,325,54,1591,0
348050,4,102,0,99,0,49,91,24,147,10,526,0
350644,3,60,0,101,1,91,0,2,15,1,274,1
350929,23,26,0,180,29,72,23,57,147,9,566,0
352051,0,5,0,24,0,6,13,4,20,0,72,0
352771,2,311,4,173,1,164,91,37,148,12,943,0
355510,41,415,456,696,42,152,164,114,528,110,2718,0
358504,36,273,0,811,18,230,130,127,553,112,2290,0
359943,2,219,0,63,8,30,69,48,67,8,514,0
361243,2,99,0,80,0,52,61,21,112,12,439,0
361282,0,2,0,10,0,2,0,2,13,0,29,1
362647,2,59,0,109,4,45,0,9,65,9,302,1
363990,0,0,0,31,1,22,11,1,18,6,90,1
364239,14,421,0,779,9,325,204,79,291,30,2152,0
364547,8,344,0,501,4,227,76,79,200,27,1466,0
364770,8,294,0,267,11,125,31,27,121,24,908,0
366449,2,34,0,121,5,223,2,21,131,7,546,0
366987,1,111,0,188,16,93,23,32,77,2,543,0
368106,2,11,0,20,0,44,0,19,41,3,140,1
368436,7,736,24,1044,30,175,395,126,569,100,3206,0
369319,6,505,0,363,28,150,59,89,379,48,1627,0
370294,1,133,0,84,0,29,10,16,72,7,352,1
373237,3,190,8,192,0,189,68,35,300,21,1006,1
374636,5,164,0,188,4,54,46,36,130,11,638,0
378825,7,358,0,393,23,437,94,93,343,63,1811,0
379023,3,60,0,165,5,291,102,45,156,3,830,1
379124,19,206,0,359,9,85,96,73,308,36,1191,0
380138,4,129,0,139,3,178,5,18,56,4,536,1
380239,9,214,7,276,42,244,69,73,235,27,1196,0
380253,7,641,4,446,16,199,233,106,401,28,2081,0
380429,24,426,0,186,22,43,82,23,238,29,1073,0
380662,2,159,0,203,4,39,58,6,36,12,519,0
382378,9,104,0,200,9,322,19,72,205,11,951,0
382742,5,3,0,76,0,152,0,8,20,5,269,1
383694,59,268,2,228,29,71,112,75,307,43,1194,0
383978,21,44,0,177,16,237,35,31,59,7,627,0
385218,4,43,0,197,0,325,26,30,73,7,705,1
385937,30,826,4,1155,43,343,265,163,399,35,3263,0
388947,73,1883,27,1041,57,74,200,193,810,50,4408,0
389025,5,111,0,184,0,305,81,25,52,13,776,1
389362,0,526,0,412,28,157,158,37,109,9,1436,1
389639,6,281,0,178,8,135,188,37,172,19,1024,0
390029,15,321,0,284,18,104,49,142,498,35,1466,0
390690,18,194,1,529,3,401,208,148,520,81,2103,0
391537,2,242,0,237,25,413,42,35,202,37,1235,0
391578,1,83,0,132,1,43,40,16,104,23,443,1
392626,8,134,0,400,16,397,151,77,169,55,1407,1
392664,21,1066,0,570,28,177,127,71,395,59,2514,0
392890,6,157,0,280,18,91,91,85,126,13,867,0
394384,0,149,0,75,2,22,5,3,29,10,295,1
396210,14,38,0,137,0,144,19,11,22,2,387,0
396292,43,656,7,557,33,89,156,82,437,72,2132,0
396668,10,246,0,194,13,97,70,71,173,19,893,0
399453,6,21,0,72,1,17,62,15,108,5,307,0
399794,51,101,1,260,0,282,82,70,264,41,1152,1
399843,1,31,0,34,0,30,0,2,25,3,126,1
399935,3,16,0,158,0,77,5,66,126,6,457,1
402210,23,227,2,494,0,439,156,125,479,49,1994,0
402433,0,1,0,63,0,93,0,5,49,1,212,1
403052,18,213,0,160,8,89,35,38,174,7,742,1
406224,3,22,0,110,0,60,8,25,73,3,304,0
406498,4,304,0,272,14,43,130,39,91,0,897,0
407374,21,345,1,349,23,66,98,96,537,69,1605,0
408061,2,116,0,162,0,340,59,43,79,3,804,1
408239,2,251,0,336,5,309,115,47,123,3,1191,0
408817,4,20,0,68,0,91,58,13,48,2,304,1
409880,46,484,25,419,0,148,3,116,650,34,1925,0
409953,13,225,0,232,17,42,71,49,190,20,859,0
410084,1,9,0,25,0,29,22,2,13,0,101,1
411707,18,243,0,206,14,31,108,65,282,19,986,0
412618,24,207,0,415,15,258,114,74,303,38,1448,0
414247,9,84,0,332,20,217,107,60,252,49,1130,1
416243,6,188,86,98,9,195,35,41,147,3,808,0
416500,4,311,0,156,5,206,44,18,63,11,818,1
418397,21,320,0,633,30,52,120,143,312,97,1728,0
419192,1,44,0,66,17,17,26,22,72,5,270,0
419517,32,327,0,358,0,62,103,61,166,25,1134,0
422276,2,39,0,92,0,63,8,55,56,1,316,0
422534,10,63,0,124,1,338,30,37,146,2,751,1
423147,6,118,0,139,3,74,29,80,58,16,523,0
423876,0,94,0,31,0,9,31,5,9,0,179,1
426059,17,135,0,122,10,84,24,47,90,0,529,0
426887,26,727,53,615,34,126,111,160,593,85,2530,0
427344,1,45,0,55,2,106,47,22,16,3,297,1
428321,3,7,0,36,0,51,8,5,26,0,136,1
429212,16,305,0,285,3,311,42,41,104,2,1109,0
429854,1,124,0,113,38,257,27,19,34,3,616,0
430356,46,644,3,916,46,289,249,189,612,64,3058,0
431005,1,0,0,104,3,45,0,30,112,1,296,0
432862,1,413,4,520,7,144,73,42,260,87,1551,1
433508,14,32,0,88,3,24,3,52,151,3,370,0
433748,4,40,0,120,9,245,34,28,59,2,541,0
434159,2,31,0,12,0,25,0,0,12,0,82,1
435587,2,66,0,130,2,149,95,31,169,5,649,0
437923,0,24,0,136,15,144,14,31,70,4,438,0
438751,3,470,3,392,9,281,184,64,239,42,1687,0
439568,42,384,326,669,0,252,170,115,724,72,2754,0
439713,4,234,0,275,7,227,71,56,263,24,1161,1
439855,18,239,13,336,3,53,90,39,243,54,1088,0
440003,39,750,0,1134,23,561,369,161,807,78,3922,0
441342,10,367,9,531,40,535,109,127,374,37,2139,0
441444,6,180,0,495,4,464,155,93,292,38,1727,0
441885,0,104,0,144,9,69,77,36,281,56,776,1
441892,4,41,0,164,3,222,24,28,100,0,586,1
442547,5,64,0,193,2,156,23,24,190,7,664,1
442589,4,28,0,197,2,293,127,43,125,12,831,0
442590,33,1132,62,976,41,110,248,194,968,122,3886,1
442878,2,86,0,197,2,48,26,27,140,36,564,1
442924,4,252,0,179,4,86,65,44,163,24,821,0
443400,3,36,0,59,0,31,26,8,38,1,202,1
443438,7,67,18,193,2,104,39,23,103,8,564,1
443731,2,21,0,110,0,295,31,41,93,1,594,0
444317,39,379,2,637,50,203,104,146,500,73,2133,0
444375,5,796,0,733,49,331,152,60,212,46,2384,0
445109,14,560,3,335,8,104,110,40,200,22,1396,1
445386,26,165,3,234,16,94,59,40,133,6,776,0
445917,27,246,9,385,19,106,127,111,457,58,1545,0
445930,3,16,7,92,4,59,36,37,128,16,398,0
446246,44,458,0,428,13,96,74,63,299,27,1502,0
446279,34,1246,0,663,22,275,318,100,404,29,3091,0
447059,5,741,4,48,17,65,80,37,209,14,1220,0
464924,38,1305,8,565,32,162,249,135,588,21,3103,0
465441,15,718,0,403,8,204,175,82,272,59,1936,0
465629,4,357,0,296,1,137,105,52,169,13,1134,1
466539,21,520,1,605,17,471,203,154,511,48,2551,0
466880,4,223,0,204,3,194,138,11,35,4,816,0
468927,12,511,0,279,2,113,46,74,215,16,1268,0
469465,10,109,9,141,2,253,64,46,98,10,742,0
469553,2,185,0,165,1,77,55,52,121,7,665,0
470403,6,1122,3,656,31,191,150,61,327,12,2559,1
471373,12,932,0,401,13,51,87,47,312,187,2042,0
472000,3,421,0,365,21,101,31,36,120,8,1106,0
472060,2,7,0,26,0,23,0,3,25,6,92,1
473104,61,295,0,1065,19,1258,200,370,1177,132,4577,0
473340,1,67,0,66,0,137,17,18,32,3,341,1
474246,2,129,0,149,0,64,42,3,49,28,466,1
474495,21,259,0,188,1,256,150,64,218,25,1182,0
474902,6,491,24,457,11,74,152,130,413,21,1779,1
476144,15,671,2,432,59,79,138,172,481,49,2098,0
476170,6,100,0,123,0,56,9,0,73,8,375,1
476355,1,23,0,55,1,67,16,25,55,9,252,1
476822,25,329,0,331,1,209,83,103,325,27,1433,1
477120,22,267,0,220,2,102,124,56,122,32,947,0
477128,58,501,0,901,31,476,182,94,440,63,2746,0
477161,1,21,442,304,0,392,98,33,329,14,1634,1
477348,13,112,0,199,8,46,87,43,95,13,616,0
477412,7,146,0,130,17,21,78,33,107,4,543,0
478238,63,299,2,292,22,54,49,48,441,65,1335,0
478244,2,90,0,146,19,81,31,78,163,12,622,0
479141,24,209,1,255,23,81,70,93,384,29,1169,0
479457,25,324,0,388,21,110,117,128,407,65,1585,0
479848,25,108,244,402,8,128,45,113,463,59,1595,0
479977,14,268,1213,811,14,120,65,84,486,56,3131,0
480716,18,273,0,434,7,86,56,62,261,25,1222,0
480938,0,146,21,133,25,122,79,30,167,18,741,0
481538,6,250,8,350,0,32,88,36,199,45,1014,0
481667,7,50,2,121,1,63,75,45,128,20,512,0
482083,22,1723,1316,1225,30,71,68,92,1010,55,5612,0
482868,4,218,0,418,21,396,80,56,177,22,1392,0
483362,6,121,4,238,3,88,78,75,428,68,1109,1
483934,7,25,0,43,8,119,15,21,22,2,262,1
484423,9,106,1,258,8,232,50,85,234,30,1013,0
484436,12,642,0,573,80,88,79,123,530,41,2168,0
485195,4,534,0,488,24,80,74,88,186,16,1494,1
485506,49,498,0,442,20,537,107,99,398,39,2189,0
485519,12,69,18,132,19,147,57,30,124,17,625,0
485594,22,81,0,226,15,96,62,19,160,15,696,1
485734,5,197,0,238,9,171,134,79,482,53,1368,1
485791,3,344,0,300,3,299,68,95,227,40,1379,0
486533,35,1261,0,442,13,119,353,83,395,32,2733,0
486877,10,304,0,359,36,208,69,99,266,12,1363,0
486890,2,33,0,95,6,205,19,84,187,3,634,0
487293,4,28,0,201,0,289,38,44,124,9,737,0
488680,42,847,2,514,22,88,124,33,386,26,2084,0
489084,8,80,0,60,0,17,35,12,79,6,297,1
489209,4,578,34,315,24,127,138,53,271,34,1578,0
489410,7,253,0,146,4,48,60,28,124,8,678,0
489990,4,48,0,72,0,54,94,28,80,10,390,1
491081,9,168,0,357,28,292,185,112,368,48,1567,1
491875,1,19,0,272,11,25,12,3,55,5,403,1
491926,40,594,37,779,63,356,211,216,763,100,3159,0
492635,7,284,1,296,3,67,58,35,186,47,984,0
492740,17,463,0,314,6,56,80,40,241,39,1256,0
493404,23,213,6,255,20,122,181,86,295,43,1244,0
493725,6,155,7,160,0,74,63,71,123,19,678,1
494667,20,557,0,608,22,103,132,91,374,30,1937,0
496185,1,6,0,5,0,22,2,7,19,1,63,1
496315,0,0,0,6,0,3,0,0,4,0,13,1
497229,1,0,0,26,0,19,0,10,21,7,84,1
497475,7,29,0,67,3,54,0,16,20,7,203,1
497590,2,98,0,146,2,36,92,17,71,1,465,0
497809,4,50,0,58,0,49,0,8,69,6,244,1
497994,0,0,0,8,0,0,0,0,5,1,14,0
498821,18,651,12,465,8,136,118,88,225,22,1743,0
499392,3,68,0,113,0,69,35,29,65,31,413,1
499469,2,3,0,59,0,32,4,22,53,11,186,1
500283,1,44,30,170,49,165,37,22,123,6,647,0
500581,52,284,0,277,0,159,50,93,310,18,1243,0
501203,3,237,0,177,19,66,83,63,392,32,1072,1
501867,13,482,0,300,3,142,74,82,181,43,1320,0
502477,41,468,0,430,19,215,187,105,562,49,2076,0
502638,2,182,0,303,8,65,131,54,239,40,1024,0
503023,12,63,0,96,14,140,21,50,185,7,588,0
503783,10,213,0,188,12,171,44,20,92,12,762,0
503838,19,493,0,437,11,116,131,82,405,53,1747,1
504234,15,411,1364,767,39,117,123,205,1311,114,4466,0
504368,5,22,0,47,0,66,14,21,104,3,282,1
504429,6,192,20,181,28,197,100,55,222,20,1021,0
504596,21,219,5,616,3,278,75,34,164,273,1688,1
504602,4,25,0,68,0,34,10,0,19,4,164,1
504862,7,131,0,104,5,22,17,6,61,6,359,1
505856,37,1114,0,1692,35,675,340,154,482,537,5066,0
506582,22,1944,3,1991,33,111,160,148,1354,123,5889,0
506829,7,176,8,134,21,46,105,24,114,11,646,1
507113,16,314,11,206,3,84,67,95,207,24,1027,0
507115,3,29,0,59,2,27,2,4,38,3,167,1
507285,33,2664,0,847,59,90,203,80,328,70,4374,0
507344,6,296,0,373,18,179,93,44,188,17,1214,0
507478,0,39,0,27,0,40,25,21,24,3,179,1
508025,14,962,14,951,22,218,104,132,520,15,2952,0
508246,1,21,0,39,0,109,56,19,79,0,324,1
508637,56,985,1,666,54,71,80,80,390,15,2398,0
508785,6,97,0,105,4,33,26,30,81,18,400,1
509102,20,190,0,595,16,206,57,97,448,55,1684,0
509279,4,108,0,135,6,244,20,62,106,6,691,0
509327,39,347,23,564,49,188,114,197,646,79,2246,0
509610,25,491,332,494,19,117,174,49,464,75,2240,0
509929,6,786,215,428,10,49,190,56,283,13,2036,0
510182,8,647,1,567,41,94,129,67,322,81,1957,0
510864,3,133,0,243,6,187,39,28,21,2,662,0
510873,3,292,0,246,12,26,35,31,216,34,895,0
511282,6,161,0,386,15,196,81,75,308,45,1273,0
511453,4,14,0,144,0,231,50,35,151,12,641,0
512259,22,865,3,471,15,106,215,61,348,21,2127,0
512706,8,342,0,340,12,181,89,39,127,12,1150,1
513007,2,0,0,33,0,51,0,4,11,1,102,1
513349,21,550,28,479,19,393,207,229,773,56,2755,1
513482,0,3,0,27,0,24,0,9,15,4,82,1
513499,8,322,0,229,30,153,221,17,96,8,1084,0
513853,73,1567,3,1105,26,69,282,146,928,78,4277,0
513954,1,9,0,26,0,39,0,1,9,1,86,1
514125,12,500,0,982,11,330,114,164,236,44,2393,0
515056,4,307,0,277,9,210,77,41,116,14,1055,0
515520,11,35,0,88,2,115,0,26,125,15,417,0
516653,11,67,3,159,1,189,68,24,152,11,685,1
516946,5,275,0,264,2,66,121,48,108,25,914,1
517093,131,1258,0,904,32,86,240,124,735,111,3621,0
517416,12,472,0,545,4,164,213,68,161,26,1665,0
518731,0,33,0,102,0,116,30,11,30,0,322,1
518951,7,108,0,72,3,37,56,34,86,12,415,1
519211,2,161,53,142,0,166,38,17,84,8,671,1
519552,31,169,26,264,5,475,146,187,260,21,1584,0
519961,3,59,3,40,0,6,1,12,42,1,167,1
520150,44,262,0,380,11,113,175,72,398,49,1504,0
520891,66,1178,49,790,27,469,148,131,624,20,3502,0
522312,39,111,0,231,2,116,106,84,287,8,984,0
522473,19,392,3,495,31,209,84,119,352,45,1749,0
522777,8,203,0,224,12,92,75,66,179,24,883,0
523047,5,5,0,21,0,23,0,4,20,0,78,1
523248,0,45,0,133,0,230,166,34,22,6,636,0
524575,60,242,1,297,17,214,95,108,424,63,1521,0
524711,3,34,0,79,1,39,6,17,64,4,247,0
524791,10,164,39,196,0,237,111,40,355,34,1186,1
525456,16,397,0,331,16,196,69,34,96,10,1165,0
525472,9,439,0,242,32,55,81,57,206,33,1154,0
526158,0,69,0,64,1,39,75,65,240,2,555,0
526242,8,168,0,311,14,232,104,86,377,33,1333,0
526679,11,707,0,746,22,218,186,77,319,40,2326,0
527427,2,17,0,87,10,81,54,26,50,2,329,0
527574,65,688,668,735,8,252,229,125,558,46,3374,0
527751,6,75,0,258,13,73,125,93,351,52,1046,1
527954,31,136,0,165,3,101,59,28,132,29,684,1
528467,4,273,11,296,1,156,62,31,81,20,935,0
528551,24,522,20,345,24,111,99,136,616,48,1945,0
528892,4,83,0,173,2,92,52,67,152,11,636,0
528971,9,760,11,581,48,154,118,146,252,41,2120,1
529226,10,111,0,109,1,44,45,13,130,20,483,1
529522,3,46,0,48,0,126,12,11,20,1,267,1
529868,30,229,0,331,7,272,47,65,219,30,1230,0
530967,2,108,0,131,11,165,30,60,104,3,614,0
531402,39,242,14,407,4,121,125,120,550,43,1665,0
532020,10,324,0,197,5,144,54,69,121,19,943,0
532116,8,372,1,156,1,47,82,33,145,14,859,0
532144,27,108,0,109,9,52,47,59,118,9,538,0
532863,1,166,0,146,0,27,38,9,58,13,458,1
532941,0,0,0,22,0,11,0,9,24,1,67,1
533988,5,168,1,446,2,468,112,137,249,37,1625,0
534093,11,411,0,321,20,75,87,90,131,23,1169,0
535161,12,224,0,212,10,227,196,50,95,2,1028,0
535351,1,146,0,128,0,86,0,7,78,19,465,1
535632,21,162,0,164,5,44,68,17,118,21,620,1
535794,5,106,0,187,9,331,61,47,324,19,1089,1
536199,6,58,0,89,0,124,26,38,98,6,445,0
536979,6,51,0,162,1,211,44,32,76,6,589,1
537747,24,406,35,198,29,72,84,119,483,45,1495,0
537811,20,1576,94,2341,68,96,864,146,786,417,6408,0
537962,9,215,0,255,7,101,20,29,143,15,794,0
538863,29,375,0,337,31,170,109,28,156,18,1253,0
538903,22,175,0,396,24,217,34,52,157,38,1115,0
540806,17,437,68,1124,95,573,87,204,485,70,3160,0
540947,18,400,81,525,20,106,71,87,433,36,1777,0
541108,3,262,10,232,22,119,108,79,232,25,1092,0
541482,18,180,2,391,24,568,74,132,265,22,1676,0
542180,9,121,0,203,25,113,45,138,296,25,975,0
542558,15,225,0,208,47,73,92,131,517,40,1348,0
543481,28,345,5,539,10,453,148,102,283,35,1948,1
543648,17,310,0,442,29,114,77,129,463,66,1647,1
543723,13,157,0,145,0,30,99,27,152,20,643,0
543788,8,560,35,378,17,106,142,101,501,69,1917,0
543825,5,13,0,140,0,68,32,22,47,2,329,0
544576,85,129,0,214,8,126,64,57,263,41,987,0
544594,67,503,0,772,15,302,250,64,237,47,2257,0
544982,1,7,0,100,0,37,0,45,194,17,401,1
545093,32,706,21,473,5,107,317,118,539,99,2417,0
545179,9,64,0,106,1,75,17,14,97,8,391,1
545211,14,154,0,215,13,227,83,62,200,17,985,0
545255,5,84,0,189,22,49,49,41,258,28,725,0
545769,16,467,4,320,9,82,167,35,138,22,1260,0
545991,12,19,0,133,0,106,3,11,133,22,439,1
546722,48,277,1,419,16,99,146,73,518,72,1669,0
546852,24,174,116,244,2,80,61,57,248,41,1047,0
547448,14,837,0,322,28,54,144,49,243,49,1740,0
547584,1,110,0,116,1,118,9,12,102,2,471,1
547737,3,351,0,418,32,185,68,90,302,40,1489,0
547784,0,174,0,120,10,39,28,35,36,4,446,1
548027,14,269,577,446,21,304,139,65,374,35,2244,0
548173,16,365,0,253,11,314,36,33,229,33,1290,1
548301,21,341,0,275,15,146,151,86,427,45,1507,0
549032,1,152,0,124,0,178,79,97,341,10,982,0
549113,4,67,0,190,0,330,95,26,85,5,802,0
550331,9,98,0,312,27,227,52,161,371,23,1280,0
